group,baseline,y
A,-1.5,3.1967450814773635
A,-1.2272727272727273,3.781138261153326
A,-0.9545454545454546,4.087289289730084
A,-0.6818181818181819,3.9577939410533225
A,-0.40909090909090917,4.656624724529105
A,-0.13636363636363646,4.978833419096516
A,0.13636363636363624,5.098067324739201
A,0.40909090909090895,5.535114145484241
A,0.6818181818181817,5.862216579507761
A,0.9545454545454541,5.904306002852437
A,1.227272727272727,6.484764919516882
A,1.5,5.819272126318066
B,-1.5,4.361574079984915
B,-1.2272727272727273,5.336721445834452
B,-0.9545454545454546,4.6658550011643
B,-0.6818181818181819,5.689962255184283
B,-0.40909090909090917,5.674762762151433
B,-0.13636363636363646,5.679120571250956
B,0.13636363636363624,6.103690297300552
B,0.40909090909090895,6.9865649002809125
B,0.6818181818181817,6.96685012870788
B,0.9545454545454541,7.019147384023596
B,1.227272727272727,7.379192445331544
B,1.5,7.499389444717745
C,-1.5,6.358950961152574
C,-1.2272727272727273,5.981879839512422
C,-0.9545454545454546,6.496611597321821
C,-0.6818181818181819,6.0703826810054204
C,-0.40909090909090917,6.595812606462923
C,-0.13636363636363646,6.448341264622529
C,0.13636363636363624,7.73894973473563
C,0.40909090909090895,6.728104091723056
C,0.6818181818181817,7.597329988754063
C,0.9545454545454541,8.007173525902909
C,1.227272727272727,7.298988243799142
C,1.5,8.150107634353216
