x,group,y
-2.0,A,-0.1999999999999999
-1.9322033898305084,B,0.6233146984617637
-1.8644067796610169,A,-0.2527208927331573
-1.7966101694915255,B,0.5477642125443177
-1.728813559322034,A,-0.06971177502018008
-1.6610169491525424,B,1.033003623533323
-1.5932203389830508,A,0.483559481058887
-1.5254237288135593,B,1.3575601118856104
-1.457627118644068,A,0.4929338915433618
-1.3898305084745761,B,1.255062083216285
-1.3220338983050848,A,0.5847280670660655
-1.2542372881355932,B,1.6686817497671018
-1.1864406779661016,A,1.1518216392041256
-1.1186440677966103,B,2.079794441035802
-1.0508474576271185,A,1.2409067656754653
-0.9830508474576272,B,1.9768759767502697
-0.9152542372881356,A,1.2525359005454926
-0.847457627118644,B,2.304289366287986
-0.7796610169491525,A,1.8066396128352569
-0.7118644067796611,B,2.78757143211191
-0.6440677966101696,A,1.9867011581253902
-0.576271186440678,B,2.710793131005994
-0.5084745762711864,A,1.9356010550600558
-0.44067796610169485,B,2.9442808535604392
-0.3728813559322033,A,2.4509374963826542
-0.30508474576271194,B,3.4795964945760844
-0.23728813559322037,A,2.7259940339572535
-0.1694915254237288,B,3.4534366450328933
-0.10169491525423724,A,2.6345974708050837
-0.03389830508474567,B,3.5927613754181325
0.03389830508474567,A,3.0884774086215843
0.10169491525423746,B,4.15582982749311
0.1694915254237288,A,3.454980265321641
0.23728813559322015,B,4.200734481063862
0.30508474576271194,A,3.348930012839689
0.3728813559322033,B,4.253159864066443
0.4406779661016951,A,3.723559804447401
0.5084745762711864,B,4.817489590050085
0.5762711864406778,A,4.170675745758611
0.6440677966101696,B,4.948243840709275
0.7118644067796609,A,4.0767818791949715
0.7796610169491527,B,4.927955873308794
0.847457627118644,A,4.360680903104025
0.9152542372881354,B,5.466954863693955
0.9830508474576272,A,4.871155102407504
1.0508474576271185,B,5.691505075729648
1.1186440677966103,A,4.815259326277282
1.1864406779661016,B,5.618482058712187
1.2542372881355934,A,5.004174521936669
1.3220338983050848,B,6.1075761358673715
1.3898305084745761,A,5.555705070105202
1.457627118644068,B,6.426396941057672
1.5254237288135593,A,5.560622182823909
1.593220338983051,B,6.324818019028762
1.6610169491525424,A,5.657866846986692
1.7288135593220337,B,6.743408402099848
1.7966101694915255,A,6.22488130968011
1.8644067796610169,B,7.149464890817567
1.9322033898305087,A,6.308581789801628
2.0,B,7.045783955404831
