x,y
-3.0,-4.256448003223946
-2.8461538461538463,-4.101079254220859
-2.6923076923076925,-3.9429593966027006
-2.5384615384615383,-3.7807357227103084
-2.3846153846153846,-3.6131524652003875
-2.230769230769231,-3.4390804607718497
-2.0769230769230766,-3.2575438232524645
-1.923076923076923,-3.0677429959743754
-1.7692307692307692,-2.869073638895433
-1.6153846153846154,-2.6611409043149434
-1.4615384615384615,-2.443768763962952
-1.3076923076923075,-2.2170041671386618
-1.1538461538461537,-1.9811159316744544
-1.0,-1.7365883939231586
-0.8461538461538458,-1.4841099677685199
-0.6923076923076921,-1.2245568829178382
-0.5384615384615383,-0.9589724866106828
-0.3846153846153846,-0.6885425976785798
-0.23076923076923084,-0.41456749514186764
-0.07692307692307665,-0.13843120302886644
0.0769230769230771,0.13843120302886724
0.23076923076923084,0.41456749514186764
0.384615384615385,0.6885425976785807
0.5384615384615388,0.9589724866106836
0.6923076923076925,1.224556882917839
0.8461538461538463,1.4841099677685208
1.0,1.7365883939231586
1.1538461538461542,1.9811159316744553
1.3076923076923084,2.217004167138663
1.4615384615384617,2.4437687639629524
1.6153846153846159,2.661140904314944
1.7692307692307692,2.869073638895433
1.9230769230769234,3.067742995974376
2.0769230769230775,3.257543823252466
2.230769230769231,3.4390804607718497
2.384615384615385,3.6131524652003884
2.5384615384615383,3.7807357227103084
2.6923076923076925,3.9429593966027006
2.8461538461538467,4.101079254220859
3.0,4.256448003223946
