x,group,y
-2.8,A,1
-2.7434343434343433,B,0
-2.686868686868687,A,0
-2.63030303030303,B,0
-2.5737373737373734,A,0
-2.517171717171717,B,0
-2.4606060606060605,A,0
-2.404040404040404,B,0
-2.3474747474747475,A,0
-2.290909090909091,B,0
-2.234343434343434,A,0
-2.1777777777777776,B,1
-2.121212121212121,A,0
-2.0646464646464646,B,0
-2.008080808080808,A,0
-1.9515151515151514,B,0
-1.8949494949494947,A,0
-1.8383838383838382,B,0
-1.7818181818181817,A,0
-1.725252525252525,B,1
-1.6686868686868686,A,0
-1.612121212121212,B,0
-1.5555555555555554,A,0
-1.4989898989898989,B,0
-1.4424242424242424,A,0
-1.3858585858585857,B,0
-1.3292929292929292,A,0
-1.2727272727272727,B,0
-1.216161616161616,A,0
-1.1595959595959595,B,0
-1.103030303030303,A,1
-1.0464646464646463,B,0
-0.9898989898989898,A,0
-0.9333333333333333,B,1
-0.8767676767676766,A,0
-0.8202020202020202,B,0
-0.7636363636363637,A,0
-0.7070707070707072,B,0
-0.6505050505050503,A,1
-0.5939393939393938,B,0
-0.5373737373737373,A,0
-0.4808080808080808,B,1
-0.4242424242424243,A,0
-0.3676767676767678,B,0
-0.3111111111111109,A,1
-0.2545454545454544,B,0
-0.19797979797979792,A,1
-0.14141414141414144,B,1
-0.08484848484848495,A,0
-0.028282828282828465,B,1
0.028282828282828465,A,0
0.08484848484848495,B,0
0.14141414141414144,A,1
0.19797979797979792,B,0
0.2545454545454544,A,0
0.3111111111111109,B,1
0.3676767676767678,A,0
0.4242424242424243,B,1
0.4808080808080808,A,1
0.5373737373737373,B,0
0.5939393939393938,A,1
0.6505050505050503,B,1
0.7070707070707072,A,0
0.7636363636363637,B,1
0.8202020202020202,A,0
0.8767676767676766,B,1
0.9333333333333331,A,1
0.9898989898989901,B,0
1.0464646464646465,A,1
1.103030303030303,B,1
1.1595959595959595,A,0
1.2161616161616164,B,1
1.2727272727272725,A,1
1.3292929292929294,B,1
1.3858585858585855,A,1
1.4424242424242424,B,1
1.4989898989898993,A,1
1.5555555555555554,B,1
1.6121212121212123,A,0
1.6686868686868683,B,1
1.7252525252525253,A,1
1.7818181818181813,B,0
1.8383838383838382,A,1
1.8949494949494952,B,1
1.9515151515151512,A,1
2.008080808080808,B,1
2.064646464646464,A,1
2.121212121212121,B,1
2.177777777777778,A,1
2.234343434343434,B,1
2.290909090909091,A,1
2.347474747474747,B,1
2.404040404040404,A,1
2.46060606060606,B,1
2.517171717171717,A,1
2.573737373737374,B,1
2.63030303030303,A,1
2.686868686868687,B,1
2.743434343434343,A,1
2.8,B,1
